seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,4.0,BHK,Independent Floor,Hauz Khas,200000.0,2500.0,Unfurnished,5.0
AGENT,3.0,BHK,Independent Floor,Anand Niketan,180000.0,2000.0,Unfurnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,250000.0,2200.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Greater kailash 1,120000.0,2000.0,Unfurnished,4.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Park,275000.0,4000.0,Unfurnished,4.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,165000.0,2000.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,110000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Shanti Niketan,280000.0,5500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Anand Niketan,150000.0,2200.0,Semi-Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash,100000.0,2000.0,Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Shanti Niketan,325000.0,3000.0,Semi-Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,325000.0,2500.0,Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Park,350000.0,4000.0,Semi-Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Sadiq Nagar,250000.0,4000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Panchsheel Enclave,85000.0,1800.0,Unfurnished,4.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,270000.0,2200.0,Unfurnished,3.0
AGENT,3.0,BHK,Independent Floor,Green Park,75000.0,1600.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Sadiq Nagar,130000.0,2200.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Safdarjung Enclave,85000.0,1700.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Park,180000.0,2500.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,175000.0,2000.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,250000.0,2500.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,175000.0,2500.0,Semi-Furnished,3.0
